"msID","msNameAirMo","msCode_PS","msOrt","msOrtsteil","msKT","spID","spXCoord","spYCoord","spHoehe","spBisDatum","scID","scVerkehrslage","scSiedlungsgroesse","scLagerelativSiedlung","scSpezialinfo","scIDBStandorttyp","scIDBStationstyp","scIDBBebauung","scIDBVerkehr","scBisDatum"
1147,"8400_0320","8400_0320","Winterthur","Terrassenweg","ZH",793,2693765,1263594,426,,2253,"S0","H21","Randzonen","A2","Vorstädtisch","Hintergrund","offen","&lt; 5&apos;000",
1148,"8400_0310","8400_0310","Winterthur","Wülflingerstrasse 393","ZH",794,2693540,1263540,409,,2254,"S22","H21","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1149,"8400_0300","8400_0300","Winterthur","Zürcherstrasse","ZH",795,2696252,1261509,439,,2255,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1151,"Mei_Bezirksgericht","8706_0020","Meilen","Bezirksgericht","ZH",797,2691909,1235880,423,,2257,"S0","H13","Zentrum","A2","Städtisch","Hintergrund","offen","5&apos;000 - 20&apos;000",
1153,"Bul_Stadthalle","8180_0020","Bülach","Stadthalle","ZH",808,2682598,1263398,406,,2263,"S0","H12","Wohngebiete","A2","Vorstädtisch","Hintergrund","einseitig offen","&lt; 5&apos;000",
1154,"Klo_Gerlisbergstrasse","8302_0060","Kloten","Gerlisbergstrasse","ZH",906,2686430,1256533,440,,2271,"S0","H13","Zentrum","A2","Städtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1155,"8303_0010","8303_0010","Bassersdorf","Bachstrasse","ZH",804,2689307,1255529,455,,2260,"S12","H12","Wohngebiete","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1156,"8180_0050","8180_0050","Bülach","Allmendstrasse","ZH",805,2682112,1263005,434,,2261,"S22","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1157,"8180_0030","8180_0030","Bülach","Gewerbe Feldermösli","ZH",806,2682973,1262784,414,,2262,"S0","H12","Wohngebiete","A2","Vorstädtisch","Industrie","einseitig offen","&lt; 5&apos;000",
1158,"8180_0040","8180_0040","Bülach","Glashütte","ZH",809,2682819,1264408,433,,2264,"S0","H12","Wohngebiete","A2","Vorstädtisch","Hintergrund","einseitig offen","5&apos;000 - 20&apos;000",
